GEMBASE_NAME,Isolation source,Strain Category,phylogroup
ESCO.0216.00472,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00473,Host-associated,Bird_Faecal,A
ESCO.0216.00474,Host-associated,Bird_Faecal,A
ESCO.0216.00475,Environmental,Water,A
ESCO.0216.00476,Host-associated,Bird_Faecal,B1
ESCO.0216.00477,Environmental,Water,B2
ESCO.0216.00478,Host-associated,Human_Extra-intestinal,C
ESCO.0216.00479,Environmental,Water,D
ESCO.0216.00480,Host-associated,Bird_Faecal,B2
ESCO.0216.00481,Host-associated,Mammal_Faecal,D
ESCO.0216.00482,Host-associated,Bird_Faecal,B1
ESCO.0216.00483,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00484,Host-associated,Bird_Faecal,D
ESCO.0216.00486,Host-associated,Poultry_Meat,B1
ESCO.0216.00487,Host-associated,Poultry_Meat,B1
ESCO.0216.00488,Host-associated,Human_Faecal,A
ESCO.0216.00489,Host-associated,Mammal_Faecal,B1
ESCO.0216.00490,Host-associated,Human_Intestinal,B2
ESCO.0216.00491,Host-associated,Human_Faecal,B1
ESCO.0216.00492,Host-associated,Bird_Faecal,B2
ESCO.0216.00493,Host-associated,Human_Intestinal,A
ESCO.0216.00494,Host-associated,Human_Intestinal,B1
ESCO.0216.00495,Host-associated,Poultry_Meat,B1
ESCO.0216.00497,Environmental,Water,B1
ESCO.0216.00498,Environmental,Water,A
ESCO.0216.00499,Host-associated,Human_Intestinal,B2
ESCO.0216.00500,Environmental,Water,E
ESCO.0216.00501,Environmental,Water,A
ESCO.0216.00502,Host-associated,Poultry_Meat,A
ESCO.0216.00503,Host-associated,Poultry_Meat,A
ESCO.0216.00504,Host-associated,Bird_Faecal,D
ESCO.0216.00505,Environmental,Water,B1
ESCO.0216.00506,Environmental,Water,B1
ESCO.0216.00507,Environmental,Water,D
ESCO.0216.00508,Host-associated,Bird_Faecal,D
ESCO.0216.00509,Environmental,Water,B1
ESCO.0216.00510,Host-associated,Mammal_Faecal,A
ESCO.0216.00511,Environmental,Water,E
ESCO.0216.00512,Environmental,Water,B2
ESCO.0216.00513,Host-associated,Mammal_Faecal,A
ESCO.0216.00514,Host-associated,Poultry_Meat,B1
ESCO.0216.00515,Host-associated,Poultry_Meat,B1
